Date,Predicted_INR,Lower_INR,Upper_INR,Predicted_USD,Lower_USD,Upper_USD
2026-03-21,123.0347113309049,114.45646039532726,131.61296226648253,4659.432822588039,4224.683044309083,5094.182600866995
2026-03-22,123.19738558368803,114.61913464811039,131.77563651926567,4690.45811095283,4255.708332673874,5125.207889231786
2026-03-23,123.30485664733527,114.72660571175763,131.8831075829129,4696.107645412138,4261.357867133182,5130.857423691094
2026-03-24,122.56366842528983,113.98541748971219,131.14191936086746,4683.803951863581,4249.054173584625,5118.553730142537
2026-03-25,121.72576668397906,113.14751574840142,130.3040176195567,4676.550284955592,4241.800506676636,5111.300063234548
2026-03-26,122.69910177669439,114.12085084111675,131.27735271227203,4698.625177704741,4263.875399425785,5133.374955983697
2026-03-27,123.30750431530643,114.72925337972879,131.88575525088407,4721.718248057723,4286.968469778767,5156.468026336679
2026-03-28,123.25597012038762,114.67771918480997,131.83422105596526,4739.067839767228,4304.318061488272,5173.817618046184
2026-03-29,123.21659348270468,114.63834254712704,131.7948444182823,4750.817341423911,4316.067563144955,5185.567119702867
2026-03-30,123.17333764636939,114.59508671079175,131.75158858194703,4760.255393132951,4325.505614853995,5195.005171411907
2026-03-31,123.36067401476728,114.78242307918964,131.93892495034493,4770.713031059892,4335.963252780936,5205.462809338848
2026-04-01,123.77511246408157,115.19686152850393,132.3533633996592,4783.229213944348,4348.479435665392,5217.978992223304
2026-04-02,123.92515378461236,115.34690284903472,132.50340472019,4795.841462200876,4361.09168392192,5230.591240479832
2026-04-03,123.95913419836249,115.38088326278485,132.53738513394012,4807.600531034743,4372.850752755787,5242.350309313699
2026-04-04,124.06532465116801,115.48707371559037,132.64357558674564,4818.387639380445,4383.637861101489,5253.137417659401
2026-04-05,124.21601194544073,115.63776100986308,132.79426288101837,4828.609450461704,4393.859672182748,5263.35922874066
2026-04-06,124.41064642971736,115.83239549413972,132.988897365295,4838.667702336017,4403.917924057061,5273.417480614973
2026-04-07,124.58815257580943,116.00990164023179,133.16640351138707,4848.6589763265065,4413.9091980475505,5283.4087546054625
2026-04-08,124.69168025860414,116.1134293230265,133.26993119418177,4858.426832236483,4423.677053957527,5293.176610515439
2026-04-09,124.80063278257794,116.22238184700029,133.37888371815558,4867.859659800265,4433.109881521309,5302.609438079221
2026-04-10,124.94046633863371,116.36221540305607,133.51871727421135,4876.942242628317,4442.192464349361,5311.692020907273
2026-04-11,125.08568353543981,116.50743259986217,133.66393447101746,4885.724836833475,4450.975058554519,5320.474615112431
2026-04-12,125.22568299756288,116.64743206198524,133.8039339331405,4894.2592673389045,4459.5094890599485,5329.0090456178605
2026-04-13,125.3495645322791,116.77131359670146,133.92781546785673,4902.563871166565,4467.814092887609,5337.313649445521
2026-04-14,125.46255320908516,116.88430227350752,134.0408041446628,4910.631201213457,4475.881422934501,5345.380979492413
2026-04-15,125.58435313497553,117.00610219939789,134.16260407055316,4918.454607835004,4483.704829556048,5353.20438611396
2026-04-16,125.71069658839377,117.13244565281613,134.28894752397142,4926.0376903184615,4491.2879120395055,5360.7874685974175
2026-04-17,125.83238606825729,117.25413513267965,134.41063700383492,4933.391583764556,4498.6418054856,5368.141362043512
2026-04-18,125.94840728272737,117.37015634714973,134.52665821830502,4940.52782294467,4505.778044665714,5375.277601223626
2026-04-19,126.05991400452889,117.48166306895125,134.63816494010652,4947.454290686981,4512.704512408025,5382.204068965937
